t,demand
0,4485.9
14,400.70
24,302.90
34,139.20
43,906.30
53,520.40
63,308.20
73,432.10
83,719.10
94,043
104,206.70
114,311.80
124,051.50
133,788.30
143,685.20
153,761.40
163,859.80
174,002
184,833.60
194,927.80
204,944
214,759.50
224,467.10
234,134.40
243,890.30
253,698
263,522.60
273,347.50
283,293.40
293,250.40
303,369.30
314,064.20
324,952.80
335,379.70
345,715.60
355,871.90
365,288.60
375,196.90
385,661.20
395,877
405,940.20
415,581.90
425,476.80
435,272.10
445,197.60
455,542.90
464,861.90
474,560.40
484,207.90
493,925.10
503,798.40
513,722.20
523,600.50
533,364.10
543,677.80
554,630.20
564,354.80
575,218.40
585,885.60
596,575.70
606,091.70
613,837.30
623,707.80
635,862.30
645,391.30
654,315
666,090.10
676,761.40
686,539.70
696,182.20
705,710.30
713,807.40
724,531.80
734,262.90
744,097.10
753,970
763,871.20
773,781.40
783,915.90
794,735.70
805,475.50
815,851.40
826,148.20
836,405.80
845,884.50
855,958.50
866,685.40
876,880.60
886,753.30
896,403.80
906,823
916,538.10
926,350.40
936,131.10
945,731.10
955,261.20
964,831.20
974,456.60
984,274.50
994,141.50
1,003,926.30
1,013,809.80
1,024,075.80
1,034,775.40
1,045,509.80
1,055,985.60
1,066,360.70
1,076,676.40
1,086,110.20
1,096,231.40
1,106,964.70
1,117,119.10
1,127,022.30
1,136,496.80
1,146,745.10
1,156,492.30
1,166,331.10
1,176,104.20
1,185,705.70
1,195,281.40
1,204,885.30
1,214,689
1,222,389.20
1,233,944.40
1,243,831.60
1,253,663.70
1,263,843.90
1,274,348.40
1,285,013.50
1,295,341.80
1,305,397.60
1,315,498.20
1,325,336.70
1,335,253.80
1,345,575.90
1,355,739.60
1,365,164.70
1,374,881.40
1,386,235.80
1,396,216.40
1,406,127
1,415,877.10
1,425,415.50
1,434,911
1,444,589.70
1,454,345.20
1,464,142.50
1,473,954.70
1,483,598.40
1,493,355.30
1,502,756.80
1,513,028.20
1,523,774.60
1,533,986.80
1,544,143.60
1,554,150.10
1,564,066.70
1,573,889.60
1,583,888.90
1,593,850.10
1,603,905.30
1,614,005.90
1,624,708.70
1,634,909.90
1,644,883.10
1,654,497
1,664,366.90
1,674,122.30
1,683,841.80
1,693,636.40
1,703,538.20
1,713,452.30
1,723,308.80
1,733,203.40
1,742,323.10
1,753,200.10
1,763,951.70
1,774,283.90
1,784,473.30
1,794,745.10
1,804,669.80
1,814,598.20
1,824,694.80
1,834,675.30
1,844,607.20
1,854,604.40
1,865,315.50
1,875,500
1,885,543.90
1,895,412.10
1,905,061.90
1,914,672.60
1,924,260.80
1,934,065
1,943,894.20
1,953,692.50
1,963,595.60
1,973,453.40
1,983,663.50
1,994,436.30
2,004,217.90
2,015,490.60
2,025,795
2,036,026.80
2,045,747.90
2,055,800.70
2,065,896.90
2,075,710.10
2,085,608.30
2,095,430.10
2,105,809.40
2,115,645.70
2,125,517
2,135,218.30
2,144,875.30
2,154,432.40
2,164,056.30
2,173,842.80
2,183,725.90
2,193,629
2,203,536.30
2,213,411.70
2,223,606
2,234,347.80
2,245,006.50
2,255,353.10
2,265,626.50
2,275,863.20
2,285,418.30
2,295,412.20
2,305,588.80
2,315,882.10
2,326,042.50
2,335,761.20
2,346,140.10
2,355,918.50
2,365,622.20
2,375,317.80
2,384,995.10
2,394,484.90
2,404,088.80
2,413,847.90
2,423,713.90
2,433,561.50
2,443,425.40
2,453,370.80
2,463,656.40
2,474,375
2,485,002.40
2,495,360.70
2,505,663.90
2,516,017.60
2,525,637.90
2,535,553.50
2,545,566.90
2,555,987.60
2,565,967.30
2,575,706.40
2,585,907.20
2,595,676.10
2,605,491.90
2,615,316.20
2,624,914.10
2,634,415.50
2,644,027.90
2,653,829.50
2,663,678.70
2,673,550.90
2,683,525
2,693,384.10
2,703,545.20
2,714,255.10
2,725,161.50
2,735,619.70
2,745,792.90
2,755,958.60
2,765,501.60
2,775,701.30
2,786,469.20
2,796,510.80
2,806,329.20
2,815,979.70
2,826,219.50
2,835,989.80
2,845,884.50
2,855,678.20
2,865,274.30
2,874,743.20
2,884,367.40
2,894,096.20
2,903,872.10
2,913,700.60
2,923,552.70
2,933,417
2,943,428.40
2,953,820.40
2,964,496.60
2,974,994.30
2,985,232.60
2,995,456.40
3,005,231
3,015,106.30
3,025,274.10
3,035,516.20
3,045,393.90
3,055,315.10
3,065,874.90
3,075,948.60
3,085,806.80
3,095,706.50
3,105,339.40
3,114,855
3,124,513.60
3,134,241.40
3,144,036.20
3,153,899.90
3,163,605.30
3,173,470.30
3,183,331.50
3,193,546.90
3,203,923.80
3,214,247.70
3,224,601.90
3,234,822.80
3,244,857.90
3,254,810.70
3,264,816.10
3,274,779
3,284,697.60
3,294,719
3,305,471.20
3,315,647.40
3,325,777.30
3,335,502.20
3,345,108.60
3,354,704.80
3,364,337.90
3,374,103.10
3,383,957.50
3,393,853.30
3,403,748.80
3,413,598.50
3,423,665.30
3,434,464.90
3,445,323
3,455,635.10
3,465,786.50
3,476,049.90
3,485,462.50
3,495,547.10
3,506,306.50
3,516,271.90
3,526,075
3,535,860
3,546,126.50
3,555,839.50
3,565,656.70
3,575,396.40
3,584,995.70
3,594,567.50
3,604,229.30
3,613,920.40
3,623,731.90
3,633,550.30
3,643,416.30
3,653,245.90
3,663,336.50
3,673,786.40
3,684,408.10
3,694,650.40
3,704,840.30
3,714,892
3,724,519.60
3,734,440.40
3,744,965.60
3,755,226.80
3,765,195.90
3,775,019.30
3,785,557.80
3,795,475
3,805,220.20
3,815,001.60
3,824,606.40
3,834,080.70
3,843,713.50
3,853,512.30
3,863,409.50
3,873,310.90
3,883,164
3,893,137.20
3,903,372.90
3,914,058.40
3,924,742.20
3,935,011.40
3,945,190.70
3,955,180.60
3,964,596.20
3,974,605.50
3,985,256.80
3,995,410.50
4,005,402
4,015,220.90
4,025,642.30
4,035,597.50
4,045,487.40
4,055,156
4,064,734.30
4,074,258.50
4,083,864.60
4,093,654.20
4,103,543.40
4,113,414.40
4,123,269.60
4,133,190.60
4,143,486.90
4,154,206.30
4,164,846.10
4,175,401.20
4,185,687.60
4,195,761.90
4,205,359.40
4,215,479.30
4,226,207.30
4,236,414.60
4,246,320.50
4,255,751.60
4,266,124.80
4,275,888.10
4,285,803.60
4,295,677.20
4,305,266.60
4,314,806.20
4,324,388
4,334,108.80
4,343,951.70
4,353,735.70
4,363,676.40
4,373,561.60
4,383,699
4,394,424.80
4,404,965.10
4,415,114.90
4,425,289.70
4,435,514
4,445,105
4,455,267.80
4,466,120.20
4,476,271.60
4,486,233.60
4,495,651.60
4,505,966.70
4,515,765
4,525,621.70
4,535,402.30
4,544,974.60
4,554,534.30
4,564,178
4,573,953.10
4,583,814.80
4,593,735.10
4,603,546.90
4,613,401.90
4,623,404.60
4,633,841
4,644,348
4,654,847.80
4,665,092.60
4,675,384.70
4,685,225.10
4,695,137
4,705,385.90
4,715,606.30
4,725,464.30
4,735,355.70
4,745,908.30
4,755,941
4,765,878.70
4,775,684
4,785,388.30
4,795,050.60
4,804,669.80
4,814,408
4,824,233.50
4,834,089.60
4,843,788.80
4,853,555.90
4,863,450.50
4,873,681.50
4,884,004.40
4,894,296.10
4,904,411
4,914,505.50
4,924,429.10
4,934,328.80
4,944,333.60
4,954,433.10
4,964,523.60
4,974,486.80
4,985,161.20
4,995,413.20
5,005,523
5,015,389.60
5,024,986.10
5,034,529.10
5,044,161.70
5,053,868
5,063,834.60
5,073,748.20
5,083,626.80
5,093,548.30
5,103,769.30
5,114,376.90
5,125,182.80
5,135,584.40
5,146,047.40
5,156,258.10
5,165,232.30
5,175,003.60
5,185,709.40
5,195,965.80
5,205,834.10
5,215,570.90
5,225,931.10
5,235,774.30
5,245,642.70
5,255,490.10
5,265,067.90
5,274,549.60
5,284,200
5,293,951.90
5,303,838.80
5,313,761.20
5,323,558.40
5,333,602
5,343,780.10
5,354,486.10
5,365,154.60
5,375,459.70
5,385,824.20
5,395,962.40
5,405,495.60
5,415,763.10
5,426,578.40
5,436,773
5,446,652.50
5,456,291.80
5,466,497.10
5,476,383.50
5,486,204.50
5,495,785
5,505,251.10
5,514,648.90
5,524,267.10
5,534,009.70
5,543,823.70
5,553,690.60
5,563,550.10
5,573,609.80
5,583,852.40
5,594,563.40
5,605,337
5,615,790.20
5,626,180.30
5,636,302
5,645,526.60
5,655,580.60
5,665,965.70
5,675,903.90
5,685,754.10
5,695,570
5,705,913.20
5,715,668.50
5,725,547.40
5,735,350.80
5,744,945
5,754,458.40
5,764,086.40
5,773,901.20
5,783,790.10
5,793,704.90
5,803,504.70
5,813,560.30
5,823,737.20
5,834,405.60
5,845,005.90
5,855,325.70
5,865,607.60
5,875,840.50
5,885,320.80
5,895,344.40
5,905,289.10
5,915,276.70
5,925,275.70
5,935,166.80
5,945,532.20
5,955,463.50
5,965,340.70
5,975,031.10
5,984,552.30
5,993,996.80
6,003,640.80
6,013,440.80
6,023,342.80
6,033,239.40
6,043,141.80
6,053,239.60
6,063,485.90
6,074,059.80
6,084,700.90
6,095,089.90
6,105,627.90
6,115,960.40
6,125,491.70
6,135,757.80
6,146,461.20
6,156,740.40
6,166,334.70
6,175,862.60
6,186,098.70
6,196,011.80
6,205,875.40
6,215,640.70
6,225,208.90
6,234,724.10
6,244,353.60
6,254,081.50
6,263,889.50
6,273,647.40
6,283,497.70
6,293,393
6,303,467.40
6,313,944.10
6,324,521.90
6,335,010.60
6,345,268.50
6,355,348.70
6,365,300.70
6,375,255.90
6,385,560.30
6,395,681.40
6,405,627.70
6,415,513.80
6,425,998.30
6,435,939.20
6,445,782.10
6,455,569.40
6,465,166.70
6,474,813.60
6,484,504.90
6,494,298
6,504,131
6,514,013.50
6,523,827.70
6,533,570.90
6,543,504.20
6,553,775.40
6,564,190.40
6,574,652.80
6,584,790.60
6,594,847.40
6,604,884.20
6,614,874
6,624,893.90
6,635,009.10
6,645,011.70
6,654,948.30
6,665,516.30
6,675,828.50
6,686,044.20
6,695,864.60
6,705,353.90
6,714,801.40
6,724,422.20
6,734,158.80
6,744,019
6,753,919.50
6,763,669
6,773,755.60
6,784,018.40
6,794,827.80
6,805,552.20
6,815,875.60
6,826,170.50
6,836,321.70
6,845,790.40
6,856,096.70
6,866,685.90
6,876,676.40
6,886,540.80
6,896,174.80
6,906,528.80
6,916,432.30
6,926,310.10
6,936,080
6,945,602.70
6,955,017
6,964,583.80
6,974,380.30
6,984,226
6,994,110.60
7,004,009.20
7,013,925
7,024,103.10
7,034,962.30
7,045,824.70
7,056,157.60
7,066,450.30
7,076,468.60
7,085,883.20
7,096,214.50
7,107,083.10
7,117,108
7,127,135.40
7,136,615.60
7,146,819.40
7,156,633.90
7,166,420.30
7,176,239.40
7,185,722.60
7,195,127.10
7,204,711.10
7,214,474.30
7,224,308.80
7,234,197.10
7,243,944.50
7,253,987.20
7,264,261.30
7,275,214.10
7,286,077.60
7,296,626
7,306,888
7,317,022.80
7,326,275.40
7,336,598.50
7,347,418.60
7,357,497.10
7,367,396.50
7,377,000.60
7,387,067.40
7,396,967.60
7,406,945.70
7,416,693
7,426,148.20
7,435,371.70
7,444,867.50
7,454,538
7,464,390.20
7,474,289.40
7,484,105.60
7,493,970.90
7,504,173.60
7,514,807.50
7,525,325.40
7,534,773.30
7,545,685.10
7,555,803.60
7,565,222.20
7,575,374.60
7,586,131
7,596,382
7,606,373.60
7,616,097.60
7,626,458.70
7,636,337.30
7,646,171.40
7,655,978.20
7,665,554.40
7,674,875.40
7,684,481.90
7,694,188.10
7,704,041
7,713,919.60
7,723,816.50
7,733,937.30
7,744,068.10
7,754,739.40
7,765,401.40
7,775,932.60
7,786,215.50
7,796,316.40
7,805,458.70
7,815,349
7,826,062.60
7,836,179.50
7,846,092.30
7,855,990.10
7,866,405
7,876,227.80
7,886,008.20
7,895,710.10
7,905,286
